title,description,category
Outdated documentation for dark mode toggle,Would help onboarding if this had a short example.,documentation
Allow users to bulk actions from dark mode toggle,Competitor tools already support this and it's a common request.,feature
Is there a way to customize dashboard charts?,,question
Add keyboard shortcuts to MongoDB connection,,feature
Introduce bulk actions for MongoDB connection,This would pair well with the existing status system.,feature
navbar throws an error after switching between tabs quickly,,bug
kanban drag handler shows stale data after submitting the form twice,Only reproduces when the user is logged in with an expired token.,bug
auth middleware crashes when clicking submit before validation finishes,"Steps to reproduce: open the page, trigger the action, and observe the console error.",bug
README is missing instructions for email notifications,,documentation
auth middleware shows stale data after clicking submit before validation finishes,"This happens consistently on Chrome and Firefox, haven't tested Safari yet.",bug
navbar crashes when switching between tabs quickly,"Steps to reproduce: open the page, trigger the action, and observe the console error.",bug
README is missing instructions for comment thread,,documentation
How do I configure dashboard charts?,"New to the codebase, trying to understand the intended usage.",question
Why does API rate limiter behave this way?,,question
What's the recommended approach for login form?,Searched the README but it doesn't cover this case.,question
README is missing instructions for API rate limiter,,documentation
Document the setup steps for settings page,The current docs reference an old version of the config file.,documentation
Allow users to dark mode from signup page,Would make the workflow much faster for power users.,feature
Is there a way to customize settings page?,Not sure if this is expected behavior or a misconfiguration on my end.,question
kanban drag handler throws an error after switching between tabs quickly,"Steps to reproduce: open the page, trigger the action, and observe the console error.",bug
Clarify the API docs for file upload widget,Would help onboarding if this had a short example.,documentation
search bar throws an error after switching between tabs quickly,"Console shows a TypeError, stack trace points to the component's effect hook.",bug
Is there a way to customize kanban drag handler?,Searched the README but it doesn't cover this case.,question
kanban drag handler is broken on mobile after the network drops mid-request,"Console shows a TypeError, stack trace points to the component's effect hook.",bug
Support inline editing in file upload widget,Several users have asked for this in feedback calls.,feature
file upload widget crashes when the page is refreshed,"Console shows a TypeError, stack trace points to the component's effect hook.",bug
What's the recommended approach for issue board?,Not sure if this is expected behavior or a misconfiguration on my end.,question
Outdated documentation for API rate limiter,Would help onboarding if this had a short example.,documentation
API rate limiter doesn't update after logging in with an expired session,"This happens consistently on Chrome and Firefox, haven't tested Safari yet.",bug
Add code comments explaining profile page,,documentation
How do I configure password reset flow?,"New to the codebase, trying to understand the intended usage.",question
README is missing instructions for password reset flow,Would help onboarding if this had a short example.,documentation
Support activity history in issue board,This would pair well with the existing status system.,feature
Clarify the API docs for password reset flow,The current docs reference an old version of the config file.,documentation
Document the setup steps for file upload widget,New contributors keep asking the same setup questions in chat.,documentation
dark mode toggle is broken on mobile after the network drops mid-request,"Started happening after the latest deploy, likely a regression.",bug
Allow users to filtering by tag from search bar,Several users have asked for this in feedback calls.,feature
Why does login form behave this way?,"Couldn't find this in the docs, asking here before opening a bug report.",question
Why does dashboard charts behave this way?,Not sure if this is expected behavior or a misconfiguration on my end.,question
Outdated documentation for email notifications,Docs mention a flag that no longer exists.,documentation
How do I configure email notifications?,"Couldn't find this in the docs, asking here before opening a bug report.",question
Support drag-and-drop reordering in navbar,,feature
README is missing instructions for kanban drag handler,Would help onboarding if this had a short example.,documentation
Add inline editing to API rate limiter,Several users have asked for this in feedback calls.,feature
email notifications is broken on mobile after switching between tabs quickly,"Console shows a TypeError, stack trace points to the component's effect hook.",bug
profile page shows stale data after the page is refreshed,"Started happening after the latest deploy, likely a regression.",bug
Introduce keyboard shortcuts for signup page,Competitor tools already support this and it's a common request.,feature
Does profile page support custom status labels?,Not sure if this is expected behavior or a misconfiguration on my end.,question
Unexpected behavior in issue list view when the network drops mid-request,,bug
Does dark mode toggle support filtering by tag?,"Couldn't find this in the docs, asking here before opening a bug report.",question
password reset flow doesn't update after submitting the form twice,"Console shows a TypeError, stack trace points to the component's effect hook.",bug
Introduce inline editing for MongoDB connection,Competitor tools already support this and it's a common request.,feature
Document the setup steps for profile page,Docs mention a flag that no longer exists.,documentation
Does profile page support email digests?,"New to the codebase, trying to understand the intended usage.",question
API rate limiter doesn't update after resizing the browser window,"This happens consistently on Chrome and Firefox, haven't tested Safari yet.",bug
Outdated documentation for MongoDB connection,New contributors keep asking the same setup questions in chat.,documentation
Introduce bulk actions for JWT refresh flow,Several users have asked for this in feedback calls.,feature
Why does navbar behave this way?,"Couldn't find this in the docs, asking here before opening a bug report.",question
Does login form support undo support?,Searched the README but it doesn't cover this case.,question
Clarify the API docs for file upload widget,Docs mention a flag that no longer exists.,documentation
Support CSV export in search bar,Several users have asked for this in feedback calls.,feature
What's the recommended approach for profile page?,,question
Clarify the API docs for email notifications,The current docs reference an old version of the config file.,documentation
Is there a way to customize issue board?,Not sure if this is expected behavior or a misconfiguration on my end.,question
Document the setup steps for file upload widget,New contributors keep asking the same setup questions in chat.,documentation
signup page crashes when the page is refreshed,"This happens consistently on Chrome and Firefox, haven't tested Safari yet.",bug
Outdated documentation for kanban drag handler,New contributors keep asking the same setup questions in chat.,documentation
Is there a way to customize comment thread?,"New to the codebase, trying to understand the intended usage.",question
Add dark mode to settings page,"Proposing this as a stretch goal, not urgent but valuable.",feature
Add custom status labels to navbar,Competitor tools already support this and it's a common request.,feature
dashboard charts throws an error after resizing the browser window,"Console shows a TypeError, stack trace points to the component's effect hook.",bug
Support email digests in signup page,"Proposing this as a stretch goal, not urgent but valuable.",feature
Unexpected behavior in kanban drag handler when the network drops mid-request,"This happens consistently on Chrome and Firefox, haven't tested Safari yet.",bug
dark mode toggle is broken on mobile after the network drops mid-request,"Started happening after the latest deploy, likely a regression.",bug
Add filtering by tag to login form,Several users have asked for this in feedback calls.,feature
Add code comments explaining kanban drag handler,,documentation
Support two-factor authentication in dark mode toggle,Would make the workflow much faster for power users.,feature
